image_path,label,xmin,ymin,xmax,ymax,xc,yc,w,h
.\data\pascal_voc\train\000005.jpg,chair,0.526,0.5626666666666666,0.648,0.904,0.587,0.7333333333333334,0.122,0.3413333333333334
.\data\pascal_voc\train\000005.jpg,chair,0.33,0.704,0.506,0.992,0.41800000000000004,0.848,0.176,0.28800000000000003
.\data\pascal_voc\train\000005.jpg,chair,0.01,0.6506666666666666,0.134,0.9973333333333333,0.07200000000000001,0.824,0.12400000000000001,0.3466666666666667
.\data\pascal_voc\train\000005.jpg,chair,0.482,0.5173333333333333,0.59,0.7973333333333333,0.536,0.6573333333333333,0.10799999999999998,0.28
.\data\pascal_voc\train\000005.jpg,chair,0.554,0.496,0.624,0.5866666666666667,0.589,0.5413333333333333,0.06999999999999995,0.09066666666666667
.\data\pascal_voc\train\000007.jpg,car,0.282,0.15015015015015015,1.0,0.990990990990991,0.641,0.5705705705705706,0.718,0.8408408408408408
.\data\pascal_voc\train\000009.jpg,horse,0.138,0.45866666666666667,0.54,0.88,0.339,0.6693333333333333,0.402,0.42133333333333334
.\data\pascal_voc\train\000009.jpg,person,0.3,0.376,0.458,0.7573333333333333,0.379,0.5666666666666667,0.15800000000000003,0.3813333333333333
.\data\pascal_voc\train\000009.jpg,person,0.57,0.536,0.654,0.8826666666666667,0.612,0.7093333333333334,0.08400000000000007,0.3466666666666667
.\data\pascal_voc\train\000009.jpg,person,0.516,0.528,0.594,0.8773333333333333,0.5549999999999999,0.7026666666666667,0.07799999999999996,0.3493333333333333
.\data\pascal_voc\train\000012.jpg,car,0.312,0.2912912912912913,0.702,0.8108108108108109,0.507,0.5510510510510511,0.38999999999999996,0.5195195195195196
.\data\pascal_voc\train\000016.jpg,bicycle,0.2754491017964072,0.144,0.9131736526946108,0.946,0.594311377245509,0.5449999999999999,0.6377245508982037,0.8019999999999999
.\data\pascal_voc\train\000017.jpg,person,0.3854166666666667,0.17032967032967034,0.58125,0.5467032967032966,0.4833333333333334,0.35851648351648346,0.19583333333333336,0.3763736263736263
.\data\pascal_voc\train\000017.jpg,horse,0.1875,0.21428571428571427,0.8395833333333333,0.9230769230769231,0.5135416666666667,0.5686813186813187,0.6520833333333333,0.7087912087912088
.\data\pascal_voc\train\000019.jpg,cat,0.462,0.23466666666666666,0.966,0.6826666666666666,0.714,0.45866666666666667,0.504,0.44799999999999995
.\data\pascal_voc\train\000019.jpg,cat,0.022,0.30133333333333334,0.532,0.6906666666666667,0.277,0.496,0.51,0.3893333333333333
.\data\pascal_voc\train\000020.jpg,car,0.088,0.296,0.9893333333333333,0.832,0.5386666666666666,0.564,0.9013333333333333,0.536
.\data\pascal_voc\train\000021.jpg,dog,0.002976190476190476,0.47,0.5416666666666666,0.776,0.27232142857142855,0.623,0.5386904761904762,0.30600000000000005
.\data\pascal_voc\train\000021.jpg,person,0.625,0.072,1.0,0.964,0.8125,0.518,0.375,0.892
.\data\pascal_voc\train\000021.jpg,person,0.13690476190476192,0.164,0.5059523809523809,0.73,0.3214285714285714,0.447,0.369047619047619,0.566
.\data\pascal_voc\train\000021.jpg,person,0.03273809523809524,0.362,0.4226190476190476,0.838,0.22767857142857142,0.6,0.3898809523809524,0.476
.\data\pascal_voc\train\000023.jpg,bicycle,0.02694610778443114,0.46,0.7335329341317365,1.0,0.38023952095808383,0.73,0.7065868263473053,0.54
.\data\pascal_voc\train\000023.jpg,bicycle,0.688622754491018,0.44,1.0,1.0,0.844311377245509,0.72,0.31137724550898205,0.56
.\data\pascal_voc\train\000023.jpg,bicycle,0.005988023952095809,0.356,0.2694610778443114,1.0,0.1377245508982036,0.6779999999999999,0.2634730538922156,0.644
.\data\pascal_voc\train\000023.jpg,person,0.005988023952095809,0.002,0.3502994011976048,0.738,0.1781437125748503,0.37,0.344311377245509,0.736
.\data\pascal_voc\train\000023.jpg,person,0.008982035928143712,0.004,0.7275449101796407,0.924,0.36826347305389223,0.464,0.718562874251497,0.92
.\data\pascal_voc\train\000023.jpg,person,0.6736526946107785,0.002,1.0,0.972,0.8368263473053892,0.487,0.3263473053892215,0.97
.\data\pascal_voc\train\000024.jpg,train,0.392,0.4925373134328358,0.978,0.7373134328358208,0.685,0.6149253731343283,0.586,0.24477611940298505
.\data\pascal_voc\train\000026.jpg,car,0.18,0.37537537537537535,0.674,0.6366366366366366,0.42700000000000005,0.506006006006006,0.49400000000000005,0.26126126126126126
.\data\pascal_voc\train\000030.jpg,bicycle,0.072,0.5466666666666666,0.36,0.7706666666666667,0.216,0.6586666666666667,0.288,0.2240000000000001
.\data\pascal_voc\train\000030.jpg,person,0.102,0.4266666666666667,0.3,0.7786666666666666,0.20099999999999998,0.6026666666666667,0.198,0.3519999999999999
.\data\pascal_voc\train\000030.jpg,person,0.59,0.368,0.9,0.7733333333333333,0.745,0.5706666666666667,0.31000000000000005,0.4053333333333333
.\data\pascal_voc\train\000032.jpg,aeroplane,0.208,0.2775800711743772,0.75,0.6512455516014235,0.479,0.46441281138790036,0.542,0.3736654804270463
.\data\pascal_voc\train\000032.jpg,aeroplane,0.266,0.31316725978647686,0.394,0.4377224199288256,0.33,0.3754448398576512,0.128,0.12455516014234874
.\data\pascal_voc\train\000032.jpg,person,0.39,0.6405693950177936,0.426,0.8149466192170819,0.40800000000000003,0.7277580071174378,0.035999999999999976,0.17437722419928825
.\data\pascal_voc\train\000032.jpg,person,0.052,0.6725978647686833,0.088,0.8469750889679716,0.06999999999999999,0.7597864768683275,0.036,0.17437722419928825
.\data\pascal_voc\train\000033.jpg,aeroplane,0.018,0.2923497267759563,0.998,0.7185792349726776,0.508,0.505464480874317,0.98,0.42622950819672134
.\data\pascal_voc\train\000033.jpg,aeroplane,0.842,0.546448087431694,0.964,0.6174863387978142,0.903,0.5819672131147542,0.122,0.07103825136612019
.\data\pascal_voc\train\000033.jpg,aeroplane,0.65,0.5136612021857924,0.822,0.6092896174863388,0.736,0.5614754098360656,0.17199999999999993,0.09562841530054644
.\data\pascal_voc\train\000034.jpg,train,0.32222222222222224,0.334,1.0,0.8,0.6611111111111111,0.5670000000000001,0.6777777777777778,0.466
.\data\pascal_voc\train\000034.jpg,train,0.39166666666666666,0.306,0.925,0.458,0.6583333333333333,0.382,0.5333333333333334,0.15200000000000002
